product_name,product_id,category,buy_price,sell_price,stock,profit_per_item
"Bush Classic Bookcase, Mobile",FUR-BO-10000002,Bookcases,414.99,535.34,5,120.35
"Brother Copy Machine, High-Speed",TEC-CO-10003597,Copiers,261.99,311.77,6,49.78
"Eaton Computer Printout Paper, 8.5 x 11",OFF-PA-10001466,Paper,30.99,39.36,18,8.37
"Eldon File Cart, Single Width",OFF-ST-10003995,Storage,114.99,143.74,19,28.75
"Avery Binder Covers, Recycled",OFF-BI-10002986,Binders,10.99,12.53,9,1.54
"Fellowes Box, Industrial",OFF-ST-10001562,Storage,17.99,23.03,15,5.04
"Stanley Highlighters, Fluorescent",OFF-AR-10001462,Art,15.99,19.67,11,3.68
"Acco 3-Hole Punch, Economy",OFF-BI-10000972,Binders,29.99,38.39,7,8.4
"StarTech Printer, Wireless",TEC-MA-10004446,Machines,217.99,261.59,12,43.6
"Sanford Highlighters, Water Color",OFF-AR-10000176,Art,18.99,23.93,3,4.94
"Fellowes Lockers, Industrial",OFF-ST-10000288,Storage,186.99,241.22,20,54.23
"Green Bar Note Cards, Premium",OFF-PA-10001662,Paper,14.99,19.04,9,4.05
"Rogers Trays, Wire Frame",OFF-ST-10002263,Storage,29.99,38.99,15,9.0
"Memorex Numeric Keypad, USB",TEC-AC-10002530,Accessories,21.99,26.17,3,4.18
"Boston Sketch Pad, Easy-Erase",OFF-AR-10001672,Art,23.99,27.59,4,3.6
"KitchenAid Refrigerator, Black",OFF-AP-10003590,Appliances,526.99,590.23,12,63.24
"SanDisk Computer Printout Paper, 8.5 x 11",OFF-PA-10001661,Paper,33.99,40.45,10,6.46
"Enermax Note Cards, 8.5 x 11",OFF-PA-10002524,Paper,27.99,31.63,2,3.64
"Bush Stackable Bookrack, Mobile",FUR-BO-10002926,Bookcases,123.99,156.23,20,32.24
"Wilson Jones 3-Hole Punch, Economy",OFF-BI-10000179,Binders,27.99,32.19,3,4.2
"Hewlett Wireless Fax, Laser",TEC-CO-10001926,Copiers,379.99,448.39,19,68.4
"Acco Binder Covers, Durable",OFF-BI-10002128,Binders,14.99,18.74,19,3.75
"Enermax Router, Programmable",TEC-AC-10000712,Accessories,259.99,332.79,8,72.8
"Dania Stackable Bookrack, Mobile",FUR-BO-10000847,Bookcases,108.99,140.6,10,31.61
"Fellowes File Cart, Blue",OFF-ST-10004695,Storage,123.99,151.27,8,27.28
"Elite Box Cutter, Steel",OFF-SU-10003739,Supplies,33.99,41.81,13,7.82
"Stanley Markers, Easy-Erase",OFF-AR-10001482,Art,10.99,13.08,9,2.09
"Wilson Jones Binder Covers, Clear",OFF-BI-10001900,Binders,10.99,12.2,9,1.21
"Hoover Stove, White",OFF-AP-10001623,Appliances,282.99,331.1,19,48.11
"Enermax Mouse, Programmable",TEC-AC-10001226,Accessories,37.99,45.59,14,7.6
"Canon Fax Machine, Laser",TEC-CO-10002157,Copiers,286.99,355.87,2,68.88
"Rubbermaid Frame, Durable",FUR-FU-10003804,Furnishings,95.99,111.35,17,15.36
"Cardinal Binder Covers, Recycled",OFF-BI-10002674,Binders,10.99,14.29,11,3.3
"Boston Highlighters, Blue",OFF-AR-10002672,Art,18.99,22.03,1,3.04
"Stanley Highlighters, Water Color",OFF-AR-10002939,Art,17.99,23.03,17,5.04
"Okidata Receipt Printer, Wireless",TEC-MA-10001139,Machines,110.99,128.75,19,17.76
"Enermax Keyboard, USB",TEC-AC-10000450,Accessories,83.99,104.99,13,21.0
"Accos Rubber Bands, 12 Pack",OFF-FA-10001711,Fasteners,15.99,18.07,17,2.08
"Sauder Corner Shelving, Pine",FUR-BO-10002632,Bookcases,133.99,150.07,11,16.08
"Kraft Interoffice Envelope, Security-Tint",OFF-EN-10000556,Envelopes,48.99,62.71,10,13.72
"Novimex Chairmat, Set of Two",FUR-CH-10002053,Chairs,52.99,61.47,0,8.48
"Cameo Clasp Envelope, Security-Tint",OFF-EN-10001979,Envelopes,11.99,13.19,4,1.2
"Smead File Folder Labels, Adjustable",OFF-LA-10003699,Labels,2.99,3.83,7,0.84
"Boston Pencil Sharpener, Easy-Erase",OFF-AR-10003377,Art,29.99,38.39,14,8.4
"Cisco Signal Booster, with Caller ID",TEC-PH-10004263,Phones,151.99,173.27,14,21.28
"Tenex Shelving, Wire Frame",OFF-ST-10004577,Storage,47.99,56.15,17,8.16
"Brother Ink, Color",TEC-CO-10002269,Copiers,125.99,152.45,6,26.46
"Stockwell Rubber Bands, Bulk Pack",OFF-FA-10000790,Fasteners,16.99,20.22,15,3.23
"Boston Markers, Easy-Erase",OFF-AR-10002485,Art,23.99,29.51,14,5.52
"Elite Trimmer, Steel",OFF-SU-10003924,Supplies,36.99,43.28,10,6.29
"GlobeWeis Business Envelopes, Recycled",OFF-EN-10004150,Envelopes,14.99,19.19,12,4.2
"Accos Staples, Bulk Pack",OFF-FA-10000740,Fasteners,4.99,6.04,19,1.05
"Green Bar Note Cards, Multicolor",OFF-PA-10000450,Paper,33.99,37.39,3,3.4
"Enermax Flash Drive, Programmable",TEC-AC-10004679,Accessories,42.99,47.72,2,4.73
"Tenex Folders, Wire Frame",OFF-ST-10001999,Storage,19.99,25.99,14,6.0
"Tenex Trays, Industrial",OFF-ST-10003204,Storage,48.99,61.24,20,12.25
"Cisco Smart Phone, Full Size",TEC-PH-10000800,Phones,554.99,616.04,3,61.05
"Hoover Coffee Grinder, Red",OFF-AP-10002238,Appliances,68.99,85.55,1,16.56
"Cardinal Binder, Recycled",OFF-BI-10003708,Binders,13.99,17.63,14,3.64
"Logitech Mouse, USB",TEC-AC-10004557,Accessories,28.99,33.05,0,4.06
"BIC Pencil Sharpener, Easy-Erase",OFF-AR-10001216,Art,28.99,35.95,10,6.96
"Belkin Router, Erganomic",TEC-AC-10001258,Accessories,256.99,282.69,18,25.7
"SAFCO Swivel Stool, Adjustable",FUR-CH-10004101,Chairs,135.99,161.83,6,25.84
"Wilson Jones Binder Covers, Economy",OFF-BI-10001507,Binders,10.99,13.41,12,2.42
"Deflect-O Stacking Tray, Erganomic",FUR-FU-10003540,Furnishings,23.99,30.95,18,6.96
"Brother Fax Machine, Color",TEC-CO-10004567,Copiers,319.99,393.59,12,73.6
"Boston Canvas, Blue",OFF-AR-10002816,Art,53.99,64.79,0,10.8
"Kraft Business Envelopes, Set of 50",OFF-EN-10003737,Envelopes,19.99,24.59,20,4.6
"Motorola Headset, Cordless",TEC-PH-10002419,Phones,73.99,85.83,15,11.84
"Ibico Binding Machine, Recycled",OFF-BI-10000341,Binders,51.99,64.99,3,13.0
"Avery Color Coded Labels, 5000 Label Set",OFF-LA-10003827,Labels,13.99,15.95,8,1.96
"Sharp Fax and Copier, Laser",TEC-CO-10000775,Copiers,168.99,209.55,0,40.56
"OIC Staples, Bulk Pack",OFF-FA-10003411,Fasteners,10.99,12.64,13,1.65
"Acme Letter Opener, Steel",OFF-SU-10002094,Supplies,29.99,38.09,15,8.1
"GlobeWeis Clasp Envelope, Security-Tint",OFF-EN-10003049,Envelopes,11.99,14.63,3,2.64
"Elite Box Cutter, Easy Grip",OFF-SU-10003535,Supplies,36.99,42.91,7,5.92
"Fellowes Box, Wire Frame",OFF-ST-10001646,Storage,10.99,14.07,13,3.08
"Smead Shelving, Blue",OFF-ST-10000710,Storage,43.99,50.59,9,6.6
"Wilson Jones Index Tab, Recycled",OFF-BI-10000171,Binders,6.99,7.76,10,0.77
"Motorola Office Telephone, VoIP",TEC-PH-10001664,Phones,60.99,73.8,12,12.81
"Wilson Jones Binder Covers, Recycled",OFF-BI-10000289,Binders,11.99,13.43,11,1.44
"Stiletto Scissors, Serrated",OFF-SU-10001409,Supplies,19.99,25.59,11,5.6
"Ibico 3-Hole Punch, Clear",OFF-BI-10000346,Binders,29.99,33.29,11,3.3
"Advantus Frame, Black",FUR-FU-10001086,Furnishings,110.99,133.19,13,22.2
"Enermax Flash Drive, Erganomic",TEC-AC-10000815,Accessories,38.99,48.35,5,9.36
"Samsung Smart Phone, Cordless",TEC-PH-10002035,Phones,638.99,785.96,2,146.97
"Office Star Swivel Stool, Black",FUR-CH-10002927,Chairs,68.99,78.65,8,9.66
"Logitech Router, USB",TEC-AC-10003518,Accessories,247.99,317.43,20,69.44
"BIC Markers, Easy-Erase",OFF-AR-10001418,Art,26.99,35.09,20,8.1
"Kraft Mailers, with clear poly window",OFF-EN-10003360,Envelopes,36.99,42.17,5,5.18
"Rubbermaid Light Bulb, Durable",FUR-FU-10002937,Furnishings,9.99,12.39,6,2.4
"Ibico Binding Machine, Durable",OFF-BI-10003068,Binders,52.99,68.89,9,15.9
"GlobeWeis Clasp Envelope, Recycled",OFF-EN-10004074,Envelopes,3.99,5.03,1,1.04
"Stockwell Push Pins, Assorted Sizes",OFF-FA-10003930,Fasteners,11.99,14.99,6,3.0
"Accos Thumb Tacks, Assorted Sizes",OFF-FA-10002071,Fasteners,10.99,12.31,13,1.32
"Smead Trays, Blue",OFF-ST-10001818,Storage,43.99,54.99,2,11.0
"SanDisk Keyboard, Programmable",TEC-AC-10000827,Accessories,82.99,101.25,7,18.26
"OIC Staples, Assorted Sizes",OFF-FA-10002350,Fasteners,8.99,10.07,17,1.08
"Advantus Thumb Tacks, Assorted Sizes",OFF-FA-10004344,Fasteners,10.99,13.96,20,2.97
"Binney & Smith Highlighters, Easy-Erase",OFF-AR-10003466,Art,16.99,19.88,12,2.89
"HP Personal Copier, Digital",TEC-CO-10001192,Copiers,61.99,73.15,15,11.16
"Hamilton Beach Stove, Black",OFF-AP-10000934,Appliances,216.99,264.73,14,47.74
"Logitech Numeric Keypad, Bluetooth",TEC-AC-10004704,Accessories,45.99,55.19,6,9.2
"Acme Trimmer, Steel",OFF-SU-10004980,Supplies,43.99,55.87,3,11.88
"Novimex Rocking Chair, Set of Two",FUR-CH-10001831,Chairs,119.99,152.39,14,32.4
"Cardinal Binding Machine, Clear",OFF-BI-10001808,Binders,48.99,54.87,20,5.88
"BIC Canvas, Easy-Erase",OFF-AR-10004739,Art,53.99,65.87,3,11.88
"Apple Audio Dock, with Caller ID",TEC-PH-10002565,Phones,166.99,205.4,18,38.41
"SanDisk Cards & Envelopes, Recycled",OFF-PA-10003868,Paper,47.99,56.15,8,8.16
"Hon Swivel Stool, Set of Two",FUR-CH-10000399,Chairs,148.99,177.3,19,28.31
"Panasonic Printer, White",TEC-MA-10004929,Machines,264.99,299.44,7,34.45
"Rogers Lockers, Industrial",OFF-ST-10001547,Storage,190.99,215.82,17,24.83
"Office Star Rocking Chair, Black",FUR-CH-10004676,Chairs,124.99,152.49,3,27.5
"Avery Color Coded Labels, Adjustable",OFF-LA-10004594,Labels,10.99,12.64,11,1.65
"Accos Paper Clips, Metal",OFF-FA-10001800,Fasteners,12.99,16.11,10,3.12
"Binney & Smith Highlighters, Water Color",OFF-AR-10000594,Art,19.99,23.59,15,3.6
"StarTech Card Printer, White",TEC-MA-10002918,Machines,137.99,164.21,7,26.22
"Apple Signal Booster, Cordless",TEC-PH-10003620,Phones,139.99,162.39,18,22.4
"Avery Binder Covers, Clear",OFF-BI-10000894,Binders,10.99,13.52,1,2.53
"Sharp Copy Machine, High-Speed",TEC-CO-10001894,Copiers,202.99,229.38,3,26.39
"Smead Lockers, Industrial",OFF-ST-10004855,Storage,178.99,223.74,17,44.75
"Cameo Peel and Seal, with clear poly window",OFF-EN-10003936,Envelopes,24.99,32.24,14,7.25
"Boston Sketch Pad, Blue",OFF-AR-10002805,Art,48.99,60.75,0,11.76
"Cardinal Binder Covers, Economy",OFF-BI-10000312,Binders,11.99,14.87,18,2.88
"SanDisk Memo Slips, Premium",OFF-PA-10001686,Paper,16.99,21.41,6,4.42
"Harbour Creations Removable Labels, Adjustable",OFF-LA-10003283,Labels,7.99,8.79,5,0.8
"Smead Lockers, Single Width",OFF-ST-10004489,Storage,178.99,223.74,6,44.75
"Avery Hole Reinforcements, Recycled",OFF-BI-10003152,Binders,4.99,5.99,20,1.0
"Advantus Door Stop, Black",FUR-FU-10002305,Furnishings,44.99,57.59,7,12.6
"Acco Hole Reinforcements, Durable",OFF-BI-10000563,Binders,7.99,10.39,7,2.4
"Rogers File Cart, Industrial",OFF-ST-10001974,Storage,126.99,148.58,12,21.59
"Kleencut Letter Opener, Easy Grip",OFF-SU-10001889,Supplies,28.99,33.92,1,4.93
"Stockwell Thumb Tacks, 12 Pack",OFF-FA-10001551,Fasteners,12.99,15.98,9,2.99
"BIC Pens, Easy-Erase",OFF-AR-10000711,Art,14.99,16.64,20,1.65
"Stanley Pencil Sharpener, Fluorescent",OFF-AR-10000079,Art,24.99,28.49,4,3.5
"Lesro Wood Table, Fully Assembled",FUR-TA-10004680,Tables,304.99,359.89,4,54.9
"Sanford Pencil Sharpener, Fluorescent",OFF-AR-10001578,Art,25.99,33.79,17,7.8
"Rogers Box, Wire Frame",OFF-ST-10004035,Storage,20.99,24.35,13,3.36
"Sanford Sketch Pad, Water Color",OFF-AR-10003457,Art,23.99,28.07,10,4.08
"GlobeWeis Manila Envelope, with clear poly window",OFF-EN-10003103,Envelopes,30.99,39.05,1,8.06
"Boston Markers, Blue",OFF-AR-10000715,Art,25.99,33.01,13,7.02
"Avery Binder, Economy",OFF-BI-10003708,Binders,12.99,15.72,11,2.73
"Smead Box, Industrial",OFF-ST-10001091,Storage,5.99,7.49,0,1.5
"Belkin Mouse, Programmable",TEC-AC-10002900,Accessories,20.99,25.61,16,4.62
"Cardinal 3-Hole Punch, Recycled",OFF-BI-10004220,Binders,28.99,31.89,20,2.9
"Boston Pencil Sharpener, Fluorescent",OFF-AR-10000452,Art,28.99,33.34,7,4.35
"Novimex Swivel Stool, Set of Two",FUR-CH-10000583,Chairs,149.99,181.49,8,31.5
"Deflect-O Photo Frame, Black",FUR-FU-10001691,Furnishings,51.99,65.51,7,13.52
"Boston Highlighters, Fluorescent",OFF-AR-10000751,Art,19.99,22.79,2,2.8
"Office Star Swivel Stool, Red",FUR-CH-10002030,Chairs,156.99,191.53,3,34.54
"Logitech Keyboard, USB",TEC-AC-10002363,Accessories,72.99,91.97,16,18.98
"Safco Corner Shelving, Mobile",FUR-BO-10003878,Bookcases,136.99,168.5,14,31.51
"Stockwell Clamps, Assorted Sizes",OFF-FA-10001698,Fasteners,16.99,20.39,12,3.4
"Canon Fax and Copier, Laser",TEC-CO-10001008,Copiers,190.99,240.65,20,49.66
"Cisco Speaker Phone, VoIP",TEC-PH-10004271,Phones,117.99,147.49,14,29.5
"Hamilton Beach Blender, Silver",OFF-AP-10003032,Appliances,63.99,70.39,10,6.4
"Nokia Audio Dock, with Caller ID",TEC-PH-10004601,Phones,141.99,177.49,17,35.5
"GlobeWeis Mailers, Security-Tint",OFF-EN-10004296,Envelopes,40.99,45.91,17,4.92
"Binney & Smith Pens, Blue",OFF-AR-10003113,Art,11.99,14.39,5,2.4
"Breville Coffee Grinder, Silver",OFF-AP-10001882,Appliances,49.99,57.49,5,7.5
"Sanford Highlighters, Easy-Erase",OFF-AR-10000799,Art,13.99,17.07,6,3.08
"Canon Wireless Fax, High-Speed",TEC-CO-10003342,Copiers,338.99,416.96,14,77.97
"Ibico Binder, Recycled",OFF-BI-10003281,Binders,13.99,16.09,13,2.1
"Wilson Jones 3-Hole Punch, Durable",OFF-BI-10000542,Binders,28.99,35.95,15,6.96
"Green Bar Parchment Paper, Recycled",OFF-PA-10002338,Paper,16.99,19.88,6,2.89
"Kleencut Shears, Serrated",OFF-SU-10004279,Supplies,42.99,51.59,4,8.6
"Wilson Jones Binding Machine, Economy",OFF-BI-10004328,Binders,48.99,55.85,3,6.86
"Novimex Legal Exhibit Labels, 5000 Label Set",OFF-LA-10001184,Labels,10.99,13.85,18,2.86
"Kraft Manila Envelope, Security-Tint",OFF-EN-10003933,Envelopes,28.99,35.37,7,6.38
"Fellowes Lockers, Blue",OFF-ST-10003455,Storage,186.99,207.56,5,20.57
"Cardinal Binder, Clear",OFF-BI-10001192,Binders,12.99,15.33,4,2.34
"Brother Fax and Copier, Digital",TEC-CO-10002601,Copiers,161.99,187.91,10,25.92
"Ikea Floating Shelf Set, Pine",FUR-BO-10004483,Bookcases,154.99,199.94,14,44.95
"Office Star Bag Chairs, Black",FUR-CH-10004790,Chairs,26.99,32.12,3,5.13
