date,month,year,product_id,product_name,category,buy_price,sell_price,quantity,sales,profit_per_item,profit
2022-05-05,5,2022,TEC-AC-10002901,"Memorex Mouse, Bluetooth",Accessories,27.99,34.71,1,27.99,6.72,6.72
2022-03-08,3,2022,OFF-ST-10000632,"Rogers Shelving, Single Width",Storage,55.99,64.39,5,279.95,8.4,42.0
2022-03-08,3,2022,OFF-AR-10002116,"BIC Pens, Fluorescent",Art,15.99,17.91,7,111.93,1.92,13.44
2022-05-28,5,2022,TEC-MA-10000946,"Panasonic Calculator, Red",Machines,46.99,53.1,7,328.93,6.11,42.77
2022-05-28,5,2022,OFF-ST-10004409,"Rogers Box, Industrial",Storage,21.99,26.39,5,109.94999999999999,4.4,22.0
2022-05-28,5,2022,OFF-FA-10000146,"Stockwell Rubber Bands, Assorted Sizes",Fasteners,13.99,18.05,3,41.97,4.06,12.18
2023-02-09,2,2023,TEC-AC-10001636,"Belkin Mouse, Erganomic",Accessories,38.99,44.45,5,194.95000000000002,5.46,27.3
2023-02-09,2,2023,TEC-PH-10002076,"Samsung Audio Dock, Full Size",Phones,167.99,186.47,2,335.98,18.48,36.96
2019-05-06,5,2019,OFF-BI-10002225,"Cardinal Binding Machine, Durable",Binders,50.99,59.15,2,101.98,8.16,16.32
2021-11-14,11,2021,OFF-PA-10002248,"Green Bar Memo Slips, 8.5 x 11",Paper,20.99,25.19,3,62.97,4.2,12.6
2021-11-14,11,2021,OFF-PA-10000876,"Eaton Computer Printout Paper, Multicolor",Paper,27.99,36.11,2,55.98,8.12,16.24
2022-02-25,2,2022,OFF-AR-10001228,"Stanley Markers, Water Color",Art,24.99,32.49,3,74.97,7.5,22.5
2021-08-31,8,2021,OFF-AR-10000785,"BIC Sketch Pad, Water Color",Art,51.99,57.19,3,155.97,5.2,15.6
2021-08-31,8,2021,OFF-ST-10002151,"Eldon Box, Blue",Storage,8.99,11.69,5,44.95,2.7,13.5
2021-08-31,8,2021,OFF-LA-10004929,"Novimex Color Coded Labels, Laser Printer Compatible",Labels,11.99,14.27,3,35.97,2.28,6.84
2023-01-01,1,2023,OFF-PA-10003037,"Eaton Memo Slips, Multicolor",Paper,14.99,16.49,6,89.94,1.5,9.0
2023-01-01,1,2023,OFF-AR-10000491,"Binney & Smith Pens, Water Color",Art,14.99,18.29,5,74.95,3.3,16.5
2021-11-11,11,2021,OFF-SU-10003907,"Stiletto Letter Opener, Easy Grip",Supplies,14.99,17.24,1,14.99,2.25,2.25
2021-11-11,11,2021,OFF-BI-10001249,"Acco Hole Reinforcements, Recycled",Binders,6.99,8.46,4,27.96,1.47,5.88
2021-11-11,11,2021,OFF-AR-10000823,"Stanley Pens, Water Color",Art,6.99,8.11,5,34.95,1.12,5.6
2019-12-28,12,2019,TEC-CO-10000620,"Brother Wireless Fax, Digital",Copiers,377.99,446.03,5,1889.95,68.04,340.2
2019-12-28,12,2019,TEC-AC-10004203,"Logitech Flash Drive, Bluetooth",Accessories,30.99,40.29,4,123.96,9.3,37.2
2019-12-28,12,2019,TEC-CO-10001596,"Brother Wireless Fax, Color",Copiers,379.99,455.99,3,1139.97,76.0,228.0
2019-11-27,11,2019,OFF-SU-10004818,"Stiletto Trimmer, Steel",Supplies,41.99,46.61,2,83.98,4.62,9.24
2019-11-27,11,2019,TEC-CO-10004034,"Canon Fax Machine, High-Speed",Copiers,268.99,333.55,2,537.98,64.56,129.12
2019-11-27,11,2019,OFF-AR-10000319,"Binney & Smith Canvas, Fluorescent",Art,52.99,62.0,3,158.97,9.01,27.03
2022-07-16,7,2022,OFF-SU-10001703,"Fiskars Box Cutter, High Speed",Supplies,35.99,43.55,3,107.97,7.56,22.68
2022-05-04,5,2022,OFF-ST-10002659,"Smead Shelving, Wire Frame",Storage,23.99,26.87,3,71.97,2.88,8.64
2023-02-26,2,2023,OFF-AR-10003629,"Boston Canvas, Water Color",Art,56.99,66.11,4,227.96,9.12,36.48
2022-10-11,10,2022,OFF-AR-10003829,"Stanley Markers, Fluorescent",Art,22.99,29.43,2,45.98,6.44,12.88
2022-10-11,10,2022,OFF-AR-10003217,"Sanford Highlighters, Fluorescent",Art,16.99,21.58,2,33.98,4.59,9.18
2022-06-07,6,2022,FUR-BO-10003007,"Ikea Stackable Bookrack, Metal",Bookcases,121.99,147.61,7,853.93,25.62,179.34
2019-12-12,12,2019,OFF-AR-10001269,"BIC Markers, Water Color",Art,29.99,38.09,2,59.98,8.1,16.2
2019-12-12,12,2019,OFF-ST-10001426,"Eldon Folders, Single Width",Storage,14.99,18.44,3,44.97,3.45,10.35
2021-10-17,10,2021,OFF-AR-10001230,"Binney & Smith Markers, Water Color",Art,26.99,34.01,7,188.92999999999998,7.02,49.14
2021-10-17,10,2021,FUR-TA-10004544,"Chromcraft Coffee Table, Fully Assembled",Tables,106.99,121.97,2,213.98,14.98,29.96
2021-11-29,11,2021,OFF-AR-10000316,"Stanley Pens, Blue",Art,9.99,12.29,3,29.97,2.3,6.9
2021-11-29,11,2021,TEC-MA-10002844,"Okidata Receipt Printer, White",Machines,72.99,85.4,2,145.98,12.41,24.82
2021-11-29,11,2021,OFF-LA-10003591,"Smead Removable Labels, Laser Printer Compatible",Labels,9.99,11.59,2,19.98,1.6,3.2
2021-11-29,11,2021,OFF-FA-10001680,"OIC Push Pins, Metal",Fasteners,14.99,17.24,1,14.99,2.25,2.25
2021-11-29,11,2021,OFF-ST-10001255,"Fellowes Trays, Single Width",Storage,33.99,37.73,8,271.92,3.74,29.92
2022-11-14,11,2022,FUR-BO-10004408,"Dania Stackable Bookrack, Pine",Bookcases,110.99,134.3,2,221.98,23.31,46.62
2022-11-14,11,2022,OFF-SU-10003907,"Stiletto Letter Opener, Easy Grip",Supplies,14.99,17.24,5,74.95,2.25,11.25
2022-11-14,11,2022,TEC-CO-10001162,"Canon Wireless Fax, Laser",Copiers,378.99,420.68,2,757.98,41.69,83.38
2020-03-22,3,2020,OFF-PA-10003937,"Green Bar Memo Slips, Recycled",Paper,16.99,21.41,3,50.97,4.42,13.26
2020-03-22,3,2020,OFF-AR-10002902,"Sanford Canvas, Water Color",Art,53.99,66.95,2,107.98,12.96,25.92
2019-04-04,4,2019,OFF-AR-10003651,"Sanford Pens, Easy-Erase",Art,10.99,12.42,3,32.97,1.43,4.29
2019-04-04,4,2019,FUR-BO-10004129,"Sauder Classic Bookcase, Pine",Bookcases,436.99,533.13,6,2621.94,96.14,576.84
2019-04-04,4,2019,OFF-ST-10001758,"Rogers Lockers, Blue",Storage,211.99,243.79,2,423.98,31.8,63.6
2022-07-25,7,2022,TEC-AC-10000140,"Enermax Numeric Keypad, Bluetooth",Accessories,57.99,75.39,7,405.93,17.4,121.8
2022-08-21,8,2022,FUR-CH-10001153,"Harbour Creations Bag Chairs, Adjustable",Chairs,57.99,72.49,3,173.97,14.5,43.5
2021-10-08,10,2021,OFF-BI-10004722,"Avery Index Tab, Clear",Binders,5.99,6.95,5,29.950000000000003,0.96,4.8
2019-08-19,8,2019,OFF-ST-10000095,"Fellowes File Cart, Industrial",Storage,137.99,175.25,7,965.9300000000001,37.26,260.82
2019-08-19,8,2019,FUR-FU-10004608,"Advantus Door Stop, Erganomic",Furnishings,43.99,49.27,2,87.98,5.28,10.56
2019-08-19,8,2019,FUR-CH-10003362,"Office Star Swivel Stool, Adjustable",Chairs,175.99,211.19,6,1055.94,35.2,211.2
2023-01-07,1,2023,OFF-SU-10004299,"Stiletto Trimmer, High Speed",Supplies,42.99,49.87,2,85.98,6.88,13.76
2022-11-02,11,2022,OFF-BI-10004628,"Cardinal Binder, Durable",Binders,14.99,17.39,2,29.98,2.4,4.8
2022-07-09,7,2022,OFF-ST-10002354,"Eldon Lockers, Wire Frame",Storage,196.99,250.18,3,590.97,53.19,159.57
2022-07-09,7,2022,TEC-PH-10002296,"Nokia Headset, Full Size",Phones,73.99,89.53,7,517.93,15.54,108.78
2020-11-30,11,2020,FUR-TA-10002467,"Lesro Conference Table, Adjustable Height",Tables,558.99,648.43,5,2794.95,89.44,447.2
2020-11-30,11,2020,OFF-EN-10002065,"Ames Clasp Envelope, Set of 50",Envelopes,6.99,8.46,6,41.94,1.47,8.82
2022-06-13,6,2022,FUR-BO-10004119,"Ikea Floating Shelf Set, Traditional",Bookcases,169.99,209.09,3,509.97,39.1,117.3
2022-06-13,6,2022,FUR-BO-10003881,"Sauder Floating Shelf Set, Mobile",Bookcases,196.99,218.66,4,787.96,21.67,86.68
2022-06-13,6,2022,OFF-AR-10000219,"Sanford Highlighters, Blue",Art,15.99,20.63,8,127.92,4.64,37.12
2022-06-13,6,2022,TEC-CO-10000405,"Canon Fax Machine, Digital",Copiers,317.99,413.39,1,317.99,95.4,95.4
2021-04-08,4,2021,TEC-AC-10003554,"Belkin Numeric Keypad, USB",Accessories,55.99,70.55,7,391.93,14.56,101.92
2021-04-08,4,2021,FUR-BO-10000684,"Sauder Corner Shelving, Traditional",Bookcases,146.99,177.86,3,440.97,30.87,92.61
2021-04-08,4,2021,TEC-MA-10000559,"Epson Card Printer, Red",Machines,166.99,200.39,6,1001.94,33.4,200.4
2021-04-08,4,2021,OFF-BI-10002799,"Cardinal Binder Covers, Clear",Binders,10.99,12.31,5,54.95,1.32,6.6
2022-09-10,9,2022,TEC-MA-10003812,"Panasonic Printer, Wireless",Machines,265.99,300.57,3,797.97,34.58,103.74
2022-09-10,9,2022,TEC-PH-10002296,"Nokia Signal Booster, with Caller ID",Phones,135.99,157.75,7,951.9300000000001,21.76,152.32
2022-09-10,9,2022,OFF-EN-10001202,"Kraft Clasp Envelope, with clear poly window",Envelopes,12.99,15.2,2,25.98,2.21,4.42
2022-09-10,9,2022,OFF-SU-10002611,"Fiskars Ruler, Serrated",Supplies,10.99,13.08,1,10.99,2.09,2.09
2022-09-10,9,2022,FUR-BO-10001555,"Bush Corner Shelving, Metal",Bookcases,122.99,146.36,2,245.98,23.37,46.74
2022-09-10,9,2022,OFF-AR-10001291,"Sanford Canvas, Fluorescent",Art,51.99,65.51,1,51.99,13.52,13.52
2022-09-10,9,2022,TEC-MA-10000327,"Epson Phone, Durable",Machines,80.99,104.48,2,161.98,23.49,46.98
2021-11-28,11,2021,FUR-FU-10003069,"Deflect-O Photo Frame, Durable",Furnishings,48.99,55.36,4,195.96,6.37,25.48
2021-02-14,2,2021,OFF-BI-10004903,"Ibico Hole Reinforcements, Durable",Binders,7.99,9.67,3,23.97,1.68,5.04
2021-08-30,8,2021,OFF-AR-10004519,"Boston Canvas, Fluorescent",Art,54.99,64.34,3,164.97,9.35,28.05
2021-08-30,8,2021,OFF-BI-10001685,"Avery Index Tab, Durable",Binders,6.99,8.74,3,20.97,1.75,5.25
2020-04-19,4,2020,OFF-AR-10001176,"Sanford Pens, Water Color",Art,13.99,15.81,3,41.97,1.82,5.46
2022-01-08,1,2022,FUR-FU-10004137,"Tenex Light Bulb, Erganomic",Furnishings,13.99,16.65,6,83.94,2.66,15.96
2022-01-08,1,2022,OFF-ST-10001413,"Rogers Folders, Blue",Storage,27.99,31.63,2,55.98,3.64,7.28
2021-12-27,12,2021,OFF-PA-10002396,"Eaton Memo Slips, 8.5 x 11",Paper,17.99,21.95,2,35.98,3.96,7.92
2020-01-18,1,2020,OFF-ST-10002608,"Eldon Box, Industrial",Storage,9.99,11.29,4,39.96,1.3,5.2
2020-01-18,1,2020,FUR-BO-10004053,"Dania Library with Doors, Metal",Bookcases,361.99,438.01,2,723.98,76.02,152.04
2020-01-18,1,2020,FUR-CH-10004462,"Hon Executive Leather Armchair, Adjustable",Chairs,367.99,467.35,5,1839.95,99.36,496.8
2022-04-01,4,2022,OFF-AR-10003658,"Boston Markers, Water Color",Art,29.99,38.39,1,29.99,8.4,8.4
2022-04-01,4,2022,OFF-LA-10003132,"Smead Round Labels, Laser Printer Compatible",Labels,6.99,8.18,2,13.98,1.19,2.38
2022-04-01,4,2022,TEC-MA-10001777,"Okidata Printer, Red",Machines,225.99,264.41,3,677.97,38.42,115.26
2019-07-12,7,2019,TEC-PH-10000160,"Motorola Smart Phone, with Caller ID",Phones,645.99,813.95,5,3229.95,167.96,839.8
2019-07-12,7,2019,TEC-MA-10000946,"Panasonic Calculator, Red",Machines,46.99,53.1,8,375.92,6.11,48.88
2019-07-12,7,2019,OFF-BI-10004801,"Acco Binding Machine, Durable",Binders,52.99,63.59,1,52.99,10.6,10.6
2019-07-12,7,2019,FUR-BO-10001165,"Bush Library with Doors, Mobile",Bookcases,329.99,425.69,3,989.97,95.7,287.1
2019-07-12,7,2019,FUR-FU-10004954,"Tenex Clock, Duo Pack",Furnishings,49.99,60.49,1,49.99,10.5,10.5
2019-07-12,7,2019,FUR-CH-10002335,"Hon Steel Folding Chair, Red",Chairs,72.99,94.89,3,218.96999999999997,21.9,65.7
2019-12-24,12,2019,OFF-PA-10000423,"Enermax Computer Printout Paper, Recycled",Paper,27.99,32.19,3,83.97,4.2,12.6
2019-05-18,5,2019,OFF-FA-10003463,"OIC Thumb Tacks, Assorted Sizes",Fasteners,11.99,14.15,3,35.97,2.16,6.48
2022-12-06,12,2022,OFF-AR-10001898,"Binney & Smith Pencil Sharpener, Fluorescent",Art,26.99,34.01,1,26.99,7.02,7.02
2022-12-06,12,2022,TEC-MA-10001494,"Okidata Inkjet, Durable",Machines,265.99,329.83,4,1063.96,63.84,255.36
2022-12-06,12,2022,OFF-AR-10000467,"Sanford Markers, Fluorescent",Art,24.99,31.49,3,74.97,6.5,19.5
2022-12-06,12,2022,OFF-PA-10003455,"Xerox Cards & Envelopes, Premium",Paper,44.99,52.64,4,179.96,7.65,30.6
2020-09-16,9,2020,FUR-BO-10004630,"Ikea Library with Doors, Mobile",Bookcases,328.99,398.08,3,986.97,69.09,207.27
2023-01-24,1,2023,OFF-PA-10000878,"SanDisk Note Cards, Multicolor",Paper,33.99,43.51,2,67.98,9.52,19.04
2023-01-24,1,2023,OFF-ST-10002720,"Rogers Shelving, Blue",Storage,36.99,47.35,2,73.98,10.36,20.72
2023-01-24,1,2023,OFF-BI-10000440,"Acco Index Tab, Economy",Binders,9.99,12.79,2,19.98,2.8,5.6
2019-05-24,5,2019,OFF-BI-10002172,"Acco Binding Machine, Recycled",Binders,50.99,56.09,6,305.94,5.1,30.6
2019-05-24,5,2019,FUR-BO-10000002,"Bush Classic Bookcase, Mobile",Bookcases,414.99,502.14,5,2074.95,87.15,435.75
2019-05-24,5,2019,TEC-CO-10003597,"Brother Copy Machine, High-Speed",Copiers,261.99,298.67,2,523.98,36.68,73.36
2020-08-04,8,2020,OFF-PA-10001466,"Eaton Computer Printout Paper, 8.5 x 11",Paper,30.99,36.57,4,123.96,5.58,22.32
2022-03-20,3,2022,OFF-ST-10003995,"Eldon File Cart, Single Width",Storage,114.99,133.39,5,574.9499999999999,18.4,92.0
2022-09-27,9,2022,OFF-BI-10002986,"Avery Binder Covers, Recycled",Binders,10.99,13.85,3,32.97,2.86,8.58
2019-12-27,12,2019,OFF-ST-10001562,"Fellowes Box, Industrial",Storage,17.99,20.51,3,53.97,2.52,7.56
2019-12-27,12,2019,OFF-AR-10001269,"BIC Markers, Water Color",Art,29.99,38.09,8,239.92,8.1,64.8
2019-09-14,9,2019,OFF-AR-10001462,"Stanley Highlighters, Fluorescent",Art,15.99,18.71,3,47.97,2.72,8.16
2019-09-14,9,2019,OFF-BI-10000972,"Acco 3-Hole Punch, Economy",Binders,29.99,38.39,9,269.90999999999997,8.4,75.6
2022-01-16,1,2022,TEC-MA-10004446,"StarTech Printer, Wireless",Machines,217.99,268.13,6,1307.94,50.14,300.84
2019-04-09,4,2019,OFF-AR-10000176,"Sanford Highlighters, Water Color",Art,18.99,24.5,6,113.94,5.51,33.06
2019-04-09,4,2019,OFF-ST-10000288,"Fellowes Lockers, Industrial",Storage,186.99,205.69,2,373.98,18.7,37.4
2020-01-16,1,2020,OFF-PA-10001662,"Green Bar Note Cards, Premium",Paper,14.99,17.54,1,14.99,2.55,2.55
2020-01-16,1,2020,OFF-ST-10002263,"Rogers Trays, Wire Frame",Storage,29.99,36.59,5,149.95,6.6,33.0
2020-09-16,9,2020,TEC-AC-10002530,"Memorex Numeric Keypad, USB",Accessories,21.99,27.27,4,87.96,5.28,21.12
2020-09-16,9,2020,OFF-AR-10001672,"Boston Sketch Pad, Easy-Erase",Art,23.99,31.19,2,47.98,7.2,14.4
2021-05-04,5,2021,OFF-AR-10000823,"Stanley Pens, Water Color",Art,6.99,8.11,2,13.98,1.12,2.24
2021-05-04,5,2021,OFF-AP-10003590,"KitchenAid Refrigerator, Black",Appliances,526.99,642.93,5,2634.95,115.94,579.7
2021-05-04,5,2021,OFF-PA-10001661,"SanDisk Computer Printout Paper, 8.5 x 11",Paper,33.99,38.41,4,135.96,4.42,17.68
2021-05-04,5,2021,OFF-PA-10002524,"Enermax Note Cards, 8.5 x 11",Paper,27.99,33.87,8,223.92,5.88,47.04
2021-05-04,5,2021,FUR-BO-10002926,"Bush Stackable Bookrack, Mobile",Bookcases,123.99,152.51,3,371.96999999999997,28.52,85.56
2021-09-14,9,2021,OFF-BI-10000179,"Wilson Jones 3-Hole Punch, Economy",Binders,27.99,35.55,3,83.97,7.56,22.68
2021-09-14,9,2021,TEC-CO-10001926,"Hewlett Wireless Fax, Laser",Copiers,379.99,486.39,2,759.98,106.4,212.8
2021-09-14,9,2021,OFF-BI-10002128,"Acco Binder Covers, Durable",Binders,14.99,19.49,3,44.97,4.5,13.5
2021-09-14,9,2021,OFF-BI-10000179,"Wilson Jones 3-Hole Punch, Economy",Binders,27.99,35.55,3,83.97,7.56,22.68
2021-09-14,9,2021,TEC-AC-10000712,"Enermax Router, Programmable",Accessories,259.99,335.39,8,2079.92,75.4,603.2
2023-03-23,3,2023,FUR-BO-10000847,"Dania Stackable Bookrack, Mobile",Bookcases,108.99,134.06,4,435.96,25.07,100.28
2023-03-05,3,2023,OFF-AR-10000316,"Stanley Pens, Blue",Art,9.99,12.29,3,29.97,2.3,6.9
2021-07-01,7,2021,OFF-ST-10004695,"Fellowes File Cart, Blue",Storage,123.99,141.35,5,619.9499999999999,17.36,86.8
2019-08-11,8,2019,OFF-SU-10003739,"Elite Box Cutter, Steel",Supplies,33.99,43.85,3,101.97,9.86,29.58
2019-08-11,8,2019,OFF-ST-10000648,"Eldon File Cart, Industrial",Storage,114.99,129.94,2,229.98,14.95,29.9
2022-06-18,6,2022,OFF-AR-10001482,"Stanley Markers, Easy-Erase",Art,10.99,12.86,6,65.94,1.87,11.22
2021-05-28,5,2021,OFF-BI-10001900,"Wilson Jones Binder Covers, Clear",Binders,10.99,14.29,4,43.96,3.3,13.2
2022-01-06,1,2022,OFF-AP-10001623,"Hoover Stove, White",Appliances,282.99,311.29,12,3395.88,28.3,339.6
2019-12-06,12,2019,OFF-BI-10000179,"Wilson Jones 3-Hole Punch, Economy",Binders,27.99,35.55,1,27.99,7.56,7.56
2019-12-06,12,2019,TEC-AC-10001226,"Enermax Mouse, Programmable",Accessories,37.99,47.49,3,113.97,9.5,28.5
2019-12-06,12,2019,TEC-CO-10002157,"Canon Fax Machine, Laser",Copiers,286.99,361.61,3,860.97,74.62,223.86
2019-12-06,12,2019,OFF-BI-10004722,"Avery Index Tab, Clear",Binders,5.99,6.95,2,11.98,0.96,1.92
2019-12-06,12,2019,FUR-FU-10003804,"Rubbermaid Frame, Durable",Furnishings,95.99,119.03,3,287.96999999999997,23.04,69.12
2019-12-06,12,2019,OFF-BI-10002674,"Cardinal Binder Covers, Recycled",Binders,10.99,13.19,5,54.95,2.2,11.0
2020-02-22,2,2020,OFF-AR-10002672,"Boston Highlighters, Blue",Art,18.99,22.03,5,94.94999999999999,3.04,15.2
2020-08-30,8,2020,OFF-AR-10002939,"Stanley Highlighters, Water Color",Art,17.99,21.23,3,53.97,3.24,9.72
2020-08-30,8,2020,TEC-MA-10001139,"Okidata Receipt Printer, Wireless",Machines,110.99,127.64,4,443.96,16.65,66.6
2020-08-30,8,2020,OFF-BI-10004554,"Avery Index Tab, Clear",Binders,5.99,6.95,4,23.96,0.96,3.84
2021-05-16,5,2021,TEC-AC-10000450,"Enermax Keyboard, USB",Accessories,83.99,104.99,2,167.98,21.0,42.0
2021-05-16,5,2021,OFF-FA-10001711,"Accos Rubber Bands, 12 Pack",Fasteners,15.99,19.51,3,47.97,3.52,10.56
2021-07-12,7,2021,FUR-BO-10002632,"Sauder Corner Shelving, Pine",Bookcases,133.99,166.15,3,401.97,32.16,96.48
2021-07-12,7,2021,OFF-EN-10000556,"Kraft Interoffice Envelope, Security-Tint",Envelopes,48.99,62.22,1,48.99,13.23,13.23
2020-11-30,11,2020,FUR-CH-10002053,"Novimex Chairmat, Set of Two",Chairs,52.99,65.18,5,264.95,12.19,60.95
2020-09-06,9,2020,OFF-EN-10001979,"Cameo Clasp Envelope, Security-Tint",Envelopes,11.99,14.15,3,35.97,2.16,6.48
2023-03-25,3,2023,OFF-LA-10003699,"Smead File Folder Labels, Adjustable",Labels,2.99,3.56,7,20.93,0.57,3.99
2021-08-27,8,2021,OFF-AR-10003377,"Boston Pencil Sharpener, Easy-Erase",Art,29.99,37.19,6,179.94,7.2,43.2
2021-08-27,8,2021,TEC-PH-10004263,"Cisco Signal Booster, with Caller ID",Phones,151.99,191.51,7,1063.93,39.52,276.64
2021-08-27,8,2021,OFF-ST-10004577,"Tenex Shelving, Wire Frame",Storage,47.99,53.75,2,95.98,5.76,11.52
2020-04-09,4,2020,TEC-CO-10002269,"Brother Ink, Color",Copiers,125.99,163.79,5,629.9499999999999,37.8,189.0
2022-09-23,9,2022,OFF-FA-10000790,"Stockwell Rubber Bands, Bulk Pack",Fasteners,16.99,19.54,2,33.98,2.55,5.1
2019-07-08,7,2019,OFF-AR-10002485,"Boston Markers, Easy-Erase",Art,23.99,29.75,2,47.98,5.76,11.52
2019-07-08,7,2019,FUR-CH-10002335,"Hon Steel Folding Chair, Red",Chairs,72.99,94.89,3,218.96999999999997,21.9,65.7
2019-07-08,7,2019,OFF-SU-10003924,"Elite Trimmer, Steel",Supplies,36.99,41.06,2,73.98,4.07,8.14
2019-07-08,7,2019,OFF-EN-10004150,"GlobeWeis Business Envelopes, Recycled",Envelopes,14.99,18.74,4,59.96,3.75,15.0
2021-01-05,1,2021,OFF-FA-10000740,"Accos Staples, Bulk Pack",Fasteners,4.99,6.49,2,9.98,1.5,3.0
2023-03-16,3,2023,OFF-PA-10000450,"Green Bar Note Cards, Multicolor",Paper,33.99,42.83,2,67.98,8.84,17.68
2023-03-16,3,2023,TEC-AC-10004679,"Enermax Flash Drive, Programmable",Accessories,42.99,53.74,3,128.97,10.75,32.25
2023-03-16,3,2023,OFF-ST-10001999,"Tenex Folders, Wire Frame",Storage,19.99,21.99,13,259.87,2.0,26.0
2023-03-16,3,2023,OFF-ST-10003204,"Tenex Trays, Industrial",Storage,48.99,56.34,4,195.96,7.35,29.4
2023-03-16,3,2023,OFF-EN-10002065,"Ames Clasp Envelope, Set of 50",Envelopes,6.99,8.46,5,34.95,1.47,7.35
2021-02-18,2,2021,OFF-AR-10003217,"Sanford Highlighters, Fluorescent",Art,16.99,21.58,5,84.94999999999999,4.59,22.95
2021-07-30,7,2021,TEC-PH-10000800,"Cisco Smart Phone, Full Size",Phones,554.99,649.34,2,1109.98,94.35,188.7
2021-08-11,8,2021,OFF-AP-10002238,"Hoover Coffee Grinder, Red",Appliances,68.99,85.55,5,344.95,16.56,82.8
2021-08-11,8,2021,OFF-BI-10003708,"Cardinal Binder, Recycled",Binders,13.99,17.21,1,13.99,3.22,3.22
2021-08-11,8,2021,TEC-AC-10004557,"Logitech Mouse, USB",Accessories,28.99,36.82,7,202.92999999999998,7.83,54.81
2021-08-11,8,2021,OFF-AR-10001216,"BIC Pencil Sharpener, Easy-Erase",Art,28.99,35.95,1,28.99,6.96,6.96
2021-05-19,5,2021,TEC-AC-10001258,"Belkin Router, Erganomic",Accessories,256.99,318.67,4,1027.96,61.68,246.72
2021-05-19,5,2021,FUR-CH-10004101,"SAFCO Swivel Stool, Adjustable",Chairs,135.99,155.03,3,407.97,19.04,57.12
2021-05-19,5,2021,OFF-BI-10001507,"Wilson Jones Binder Covers, Economy",Binders,10.99,13.19,3,32.97,2.2,6.6
2021-05-19,5,2021,FUR-FU-10003540,"Deflect-O Stacking Tray, Erganomic",Furnishings,23.99,30.95,2,47.98,6.96,13.92
2021-05-19,5,2021,TEC-CO-10004567,"Brother Fax Machine, Color",Copiers,319.99,390.39,9,2879.91,70.4,633.6
2021-05-19,5,2021,OFF-AR-10002816,"Boston Canvas, Blue",Art,53.99,68.57,3,161.97,14.58,43.74
